STATION,date,ENTRIES,EXITS
34 ST-HERALD SQ,2018-03-03,47135.0,59929.0
34 ST-HERALD SQ,2018-03-04,36392.0,45841.0
34 ST-HERALD SQ,2018-03-05,94299.0,105017.0
34 ST-HERALD SQ,2018-03-06,99226.0,110897.0
34 ST-HERALD SQ,2018-03-07,61996.0,72959.0
34 ST-HERALD SQ,2018-03-08,93876.0,105345.0
34 ST-HERALD SQ,2018-03-09,100143.0,114658.0
34 ST-HUDSON YD,2018-03-03,2590.0,2211.0
34 ST-HUDSON YD,2018-03-04,3657.0,2839.0
34 ST-HUDSON YD,2018-03-05,12290.0,12956.0
34 ST-HUDSON YD,2018-03-06,12623.0,13346.0
34 ST-HUDSON YD,2018-03-07,6169.0,6601.0
34 ST-HUDSON YD,2018-03-08,9019.0,10198.0
34 ST-HUDSON YD,2018-03-09,9305.0,11190.0
34 ST-PENN STA,2018-03-03,73437.0,69144.0
34 ST-PENN STA,2018-03-04,63618.0,57086.0
34 ST-PENN STA,2018-03-05,163475.0,136537.0
34 ST-PENN STA,2018-03-06,170553.0,144631.0
34 ST-PENN STA,2018-03-07,101054.0,91319.0
34 ST-PENN STA,2018-03-08,147467.0,128541.0
34 ST-PENN STA,2018-03-09,153274.0,146828.0
36 ST,2018-03-03,11192.0,7014.0
36 ST,2018-03-04,8325.0,5538.0
36 ST,2018-03-05,18754.0,9709.0
36 ST,2018-03-06,19800.0,10108.0
36 ST,2018-03-07,15275.0,8065.0
36 ST,2018-03-08,18875.0,9480.0
36 ST,2018-03-09,19475.0,10016.0
39 AV,2018-03-03,2426.0,1635.0
39 AV,2018-03-04,1910.0,1123.0
39 AV,2018-03-05,5129.0,2879.0
39 AV,2018-03-06,5110.0,2563.0
39 AV,2018-03-07,3632.0,2085.0
39 AV,2018-03-08,4871.0,2768.0
39 AV,2018-03-09,4673.0,3331.0
4 AV-9 ST,2018-03-03,2588.0,2713.0
4 AV-9 ST,2018-03-04,1848.0,2049.0
4 AV-9 ST,2018-03-05,3302.0,4700.0
4 AV-9 ST,2018-03-06,3573.0,5037.0
4 AV-9 ST,2018-03-07,2635.0,3622.0
4 AV-9 ST,2018-03-08,3421.0,4808.0
4 AV-9 ST,2018-03-09,3389.0,4792.0
40 ST LOWERY ST,2018-03-03,5366.0,4175.0
40 ST LOWERY ST,2018-03-04,3774.0,3450.0
40 ST LOWERY ST,2018-03-05,10410.0,9039.0
40 ST LOWERY ST,2018-03-06,10662.0,9288.0
40 ST LOWERY ST,2018-03-07,7928.0,7159.0
40 ST LOWERY ST,2018-03-08,10726.0,9110.0
40 ST LOWERY ST,2018-03-09,10917.0,8929.0
42 ST-BRYANT PK,2018-03-03,12360.0,15529.0
42 ST-BRYANT PK,2018-03-04,9509.0,11837.0
42 ST-BRYANT PK,2018-03-05,40100.0,38463.0
42 ST-BRYANT PK,2018-03-06,43540.0,41394.0
42 ST-BRYANT PK,2018-03-07,29666.0,28066.0
42 ST-BRYANT PK,2018-03-08,41190.0,40140.0
42 ST-BRYANT PK,2018-03-09,41411.0,41969.0
42 ST-PORT AUTH,2018-03-03,45136.0,46134.0
42 ST-PORT AUTH,2018-03-04,39164.0,36010.0
42 ST-PORT AUTH,2018-03-05,70599.0,64112.0
42 ST-PORT AUTH,2018-03-06,72268.0,68685.0
42 ST-PORT AUTH,2018-03-07,49257.0,49160.0
42 ST-PORT AUTH,2018-03-08,67530.0,64417.0
42 ST-PORT AUTH,2018-03-09,75571.0,71378.0
45 ST,2018-03-03,2084.0,2317.0
45 ST,2018-03-04,1528.0,2030.0
45 ST,2018-03-05,7245.0,4030.0
45 ST,2018-03-06,7638.0,3967.0
45 ST,2018-03-07,5966.0,3383.0
45 ST,2018-03-08,7400.0,3693.0
45 ST,2018-03-09,7511.0,3903.0
46 ST,2018-03-03,4835.0,3692.0
46 ST,2018-03-04,3675.0,3076.0
46 ST,2018-03-05,8790.0,6565.0
46 ST,2018-03-06,9280.0,6662.0
46 ST,2018-03-07,6879.0,5509.0
46 ST,2018-03-08,8883.0,6320.0
46 ST,2018-03-09,9062.0,6729.0
46 ST BLISS ST,2018-03-03,7942.0,5579.0
46 ST BLISS ST,2018-03-04,5714.0,4689.0
46 ST BLISS ST,2018-03-05,12999.0,10544.0
46 ST BLISS ST,2018-03-06,13776.0,10282.0
46 ST BLISS ST,2018-03-07,10107.0,7801.0
46 ST BLISS ST,2018-03-08,13285.0,9526.0
46 ST BLISS ST,2018-03-09,13610.0,9959.0
47-50 STS ROCK,2018-03-03,12571.0,14915.0
47-50 STS ROCK,2018-03-04,9847.0,11172.0
47-50 STS ROCK,2018-03-05,56695.0,59457.0
47-50 STS ROCK,2018-03-06,59331.0,62441.0
47-50 STS ROCK,2018-03-07,47654.0,47755.0
47-50 STS ROCK,2018-03-08,57479.0,60937.0
47-50 STS ROCK,2018-03-09,57379.0,61941.0
